NR_CANDIDATO,IDADE,N_Declarou,Menor10K,10kA100K,100kA1000K,Maior1000K,DS_GENERO_FEMININO,DS_GENERO_MASCULINO,DS_COR_RACA_AMARELA,DS_COR_RACA_BRANCA,DS_COR_RACA_INDï¿½GENA,DS_COR_RACA_Nï¿½O INFORMADO,DS_COR_RACA_PARDA,DS_COR_RACA_PRETA,DS_CARGO_DEPUTADO ESTADUAL,DS_CARGO_DEPUTADO FEDERAL,DS_ESTADO_CIVIL_CASADO(A),DS_ESTADO_CIVIL_DIVORCIADO(A),DS_ESTADO_CIVIL_SEPARADO(A) JUDICIALMENTE,DS_ESTADO_CIVIL_SOLTEIRO(A),DS_ESTADO_CIVIL_VIï¿½VO(A),QT_VOTOS
13613,58,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,32729.0
14920,62,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0
13180,33,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,30.0
33035,51,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0
12700,68,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1.0
33200,61,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,12.0
40177,31,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0
90555,32,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0
51007,50,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,3.0
70000,26,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,18.0
10710,57,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4.0
14014,65,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,19.0
90321,44,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,6.0
43888,56,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,38.0
40190,55,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,16.0
50150,59,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1.0
12190,49,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,3.0
14310,51,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2.0
14123,38,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,21.0
19222,58,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,5.0
22510,56,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0
77555,56,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0
70800,54,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0
10400,39,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2.0
15212,61,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0
11376,42,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
18192,56,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,310.0
44200,68,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,12451.0
55235,53,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,70.0
12111,63,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,11.0
55650,44,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,2.0
55789,65,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,884.0
13121,54,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,84.0
21210,57,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,116.0
23100,56,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,13.0
22120,39,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,124.0
18101,37,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0
14145,67,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0.0
22038,34,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,269.0
30037,51,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,5.0
19189,30,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3.0
23222,47,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3.0
19888,56,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1.0
30230,73,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,20.0
11625,55,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,2.0
30077,47,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,15.0
90113,47,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0
77999,34,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,73.0
77111,65,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2.0
90345,53,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0
13666,56,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,42.0
22700,54,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5.0
14111,40,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,8.0
40013,44,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2.0
13113,33,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,421.0
14380,32,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
70011,51,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0
13777,42,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,8100.0
35610,51,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0
10296,72,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,19.0
70900,49,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0
70170,70,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4.0
40555,54,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,7.0
44005,55,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,6.0
18115,58,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0.0
45100,58,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,6.0
13450,60,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1025.0
15001,70,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0
27107,49,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0
44350,47,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0
19557,35,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0
33878,49,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0
44555,46,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,28.0
44994,49,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,5.0
